Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
010690,KR7010690006,화신,KOSPI,,7750,1,160,2.11,7650,7900,7600,239598,1863140225,270633177500,34920410,STK
037710,KR7037710001,광주신세계,KOSPI,,35450,1,550,1.58,35200,35700,35050,26567,941303350,270383247400,7627172,STK
334890,KR7334890001,이지스밸류플러스리츠,KOSPI,,3875,2,-110,-2.76,3985,3985,3750,286009,1100195260,269113646625,69448683,STK
020120,KR7020120002,키다리스튜디오,KOSPI,,7200,1,1020,16.5,6150,7200,6150,483626,3309925180,266859115200,37063766,STK
136490,KR7136490000,선진,KOSPI,,10990,1,40,0.37,10940,11200,10750,104748,1148132155,261337847960,23779604,STK
105840,KR7105840003,우진,KOSPI,,12900,1,190,1.49,12650,13000,12540,94287,1205192420,260549943000,20197670,STK
004360,KR7004360004,세방,KOSPI,,13410,1,10,0.07,13460,13550,13310,32753,439783410,256340236230,19115603,STK
004310,KR7004310009,현대약품,KOSPI,,7950,1,270,3.52,7780,8530,7300,11189417,89520589315,254400000000,32000000,STK
007160,KR7007160005,사조산업,KOSPI,,50300,1,400,0.8,49450,50500,49100,872,43482500,251500000000,5000000,STK
001790,KR7001790005,대한제당,KOSPI,,2910,1,30,1.04,2880,2920,2880,255441,742739312,250963972650,86241915,STK
005430,KR7005430004,한국공항,KOSPI,,79000,1,1600,2.07,78700,82800,78200,6036,482807400,250142045000,3166355,STK
298690,KR7298690009,에어부산,KOSPI,,1535,1,30,1.99,1505,1545,1505,39790,61128916,250074328520,162914872,STK
053690,KR7053690004,한미글로벌,KOSPI,,22800,1,1100,5.07,21750,23400,21300,396351,8965815400,249832140000,10957550,STK
005500,KR7005500004,삼진제약,KOSPI,,18750,2,-70,-0.37,18700,18890,18690,14843,278547860,249750000000,13320000,STK
217590,KR7217590009,티엠씨,KOSPI,,10360,1,290,2.88,10160,10380,10160,132693,1363638915,249616171000,24094225,STK
003920,KR7003920006,남양유업,KOSPI,,43400,3,0,0.0,43250,44150,43150,1727,75167100,246227599800,5673447,STK
008490,KR7008490005,서흥,KOSPI,,21250,2,-100,-0.47,21150,21550,21100,12795,272031650,245843651250,11569113,STK
005680,KR7005680004,삼영전자,KOSPI,,12130,1,90,0.75,12050,12160,12000,8890,107300335,242600000000,20000000,STK
404990,KR7404990004,신한서부티엔디리츠,KOSPI,,3930,1,80,2.08,3850,3935,3840,29719,115676265,242197489800,61627860,STK
000490,KR7000490003,대동,KOSPI,,8400,1,150,1.82,8270,8445,8200,306455,2557078930,242145666000,28826865,STK
003200,KR7003200003,일신방직,KOSPI,,10480,1,60,0.58,10790,10790,10310,38631,402953670,240620800000,22960000,STK
030210,KR7030210009,다올투자증권,KOSPI,,3930,1,40,1.03,3870,3980,3870,35011,138163460,239380646580,60911106,STK
000680,KR7000680009,LS네트웍스,KOSPI,,3030,2,-10,-0.33,3010,3095,2985,74803,227422467,238773138480,78803016,STK
025000,KR7025000001,KPX케미칼,KOSPI,,54400,3,0,0.0,54400,55200,54200,2567,139936500,238201769600,4378709,STK
003070,KR7003070000,코오롱글로벌,KOSPI,,9350,2,-90,-0.95,9690,9690,9330,14240,133584635,237714016650,25423959,STK
000540,KR7000540005,흥국화재,KOSPI,,3695,2,-265,-6.69,3960,3965,3665,295394,1111384495,237376573275,64242645,STK
044820,KR7044820009,코스맥스비티아이,KOSPI,,24600,2,-350,-1.4,24950,24950,23950,14609,355819875,236256456600,9603921,STK
001460,KR7001460005,BYC,KOSPI,,37700,1,150,0.4,37550,37900,37150,2056,77092400,235479855000,6246150,STK
0030R0,KR70030R0007,대신밸류리츠,KOSPI,,3920,1,80,2.08,3840,3920,3840,1209,4704720,234337600000,59780000,STK
348950,KR7348950007,제이알글로벌리츠,KOSPI,,1182,0,0,0.0,0,0,0,0,0,233298432000,197376000,STK
