symbol,korean_name,judgement,final_action,final_advice,final_score,price,change_24h,btc_regime,rs_vs_btc_24h,swing_structure,rsi14_240m,volume_ratio_240m,atr_pct_240m,trade_value_24h,ma_rising_240m,last_completed_240m,last_completed_60m,entry_status,entry_score,entry_distance_ma20_pct,entry_price,MA5_240m,MA20_240m,MA60_240m,MA120_240m,MA20_slope_pct_240m,MA60_slope_pct_240m,MA120_slope_pct_240m,MA20_60m,ATR14_60m,score_trend_4h,score_entry_1h,score_ma20_position,score_market_quality,score_penalty,score_penalty_overheat,score_penalty_below_ma20,score_penalty_daily_surge,atr,buy_zone_low,buy_zone_high,buy_reference,stop_price,risk_per_unit,risk_pct,take_profit_1,take_profit_2,runner_trigger_4r,breakeven_stop,trailing_stop_normal,trailing_stop_tight,trailing_stop_current,runner_mode,risk_budget,position_amount,position_quantity,actual_risk_amount,actual_risk_pct,position_capped
KRW-BIRB,문버드,눌림 기다리기,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,75.7,90.8,4.49,Q1 Weak,5.9809867550320135,HH/HL,68.76988642562327,4.709989836926448,6.65130568356375,34289340296,True,2026-09-10 17:00:00,2026-09-10 20:00:00,눌림 대기,3,3.9615296542248712,90.8,87.52,84.455,82.26833333333333,80.545,1.3014273719563318,0.6258409100175388,1.4665588880607094,87.34,5.950000000000001,20.7,30.0,15.0,10.0,0.0,0.0,0.0,0.0,5.950000000000001,84.36500000000001,90.315,90.315,82.72333333333333,7.591666666666669,8.405765007658383,101.7025,109.29416666666667,120.68166666666667,90.315,90.315,90.315,90.315,기본 Trail(2ATR),500000.0,5948298.572996706,65861.69045005487,500000.0,0.5,False
KRW-BLAST,블라스트,눌림 기다리기,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,67.6,0.463,13.6,Q1 Weak,15.090423348311887,LH/HL,68.36441958370227,3.818989294437537,7.7581032412965225,27432082122,True,2026-09-10 17:00:00,2026-09-10 20:00:00,눌림 대기,3,3.244508863864426,0.463,0.4488,0.4234,0.40604999999999997,0.39665,2.580254391278025,1.2972433578645193,2.1547838777524975,0.44844999999999996,0.037285714285714276,28.6,30.0,15.0,4.0,10.0,0.0,0.0,10.0,0.037285714285714276,0.42980714285714283,0.4670928571428571,0.463,0.41367380952380955,0.04932619047619047,10.653604854468783,0.5369892857142857,0.5863154761904762,0.660304761904762,0.463,0.463,0.463,0.463,기본 Trail(2ATR),500000.0,4693247.09176039,10136602.789979244,499999.9999999999,0.49999999999999994,False
KRW-ENSO,엔소,눌림 기다리기,신규매수 보류,BTC 시장이 Q1 약세 · 4시간봉이 LH/LL 하락 구조 → 시장 회복과 구조 반전을 먼저 확인하세요.,63.5,1237.0,1.15,Q1 Weak,2.634145716166658,LH/LL,53.945857518593456,0.31081714600428756,1.8812225052095393,713900074,True,2026-09-10 17:00:00,2026-09-10 20:00:00,눌림 확인,5,0.41807038194585644,1237.0,1235.8,1227.35,1207.65,1193.3166666666666,0.24502797402703447,0.08702138239682355,0.6713862896592371,1231.85,15.928571428571429,8.5,30.0,20.0,5.0,0.0,0.0,0.0,0.0,15.928571428571429,1223.8857142857141,1239.8142857142857,1237.0,1219.002380952381,17.997619047619082,1.4549409092658918,1263.9964285714286,1281.9940476190477,1308.9904761904763,1237.0,1237.0,1237.0,1237.0,기본 Trail(2ATR),500000.0,20000000.0,16168.148746968473,290988.18185317836,0.2909881818531784,True
KRW-EGLD,멀티버스엑스,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,54.0,6990.0,6.9,Q1 Weak,8.385770767434996,HH/HL,61.87518969053154,6.626720752216767,4.660587639311043,4866754576,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,2,-0.4875965405559346,6990.0,6999.0,6589.75,6294.083333333333,5569.3,2.15082932878623,2.634868868052709,5.224077992744869,7024.25,252.5,30.0,20.0,5.0,9.0,10.0,0.0,10.0,0.0,252.5,6898.0,7150.5,6990.0,6583.166666666667,406.83333333333303,5.820219360991889,7600.25,8007.083333333332,8617.333333333332,6990.0,6990.0,6990.0,6990.0,기본 Trail(2ATR),500000.0,8590741.499385504,1229.0045063498576,500000.0,0.5,False
KRW-ANIME,애니메코인,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,44.6,4.2,2.41,Q1 Weak,3.896243286776946,HH/HL,62.348937555165826,2.5811950172090614,6.268907563025213,17527703859,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,2,-0.05948839976205322,4.2,4.234,4.0555,3.9283333333333337,3.856666666666667,1.1851297405189642,0.8514826066492676,1.5134898003948294,4.202500000000001,0.23928571428571438,21.6,20.0,5.0,8.0,10.0,0.0,10.0,0.0,0.23928571428571438,4.082857142857144,4.3221428571428575,4.2,3.960714285714286,0.23928571428571432,5.697278911564626,4.558928571428572,4.798214285714286,5.1571428571428575,4.2,4.2,4.2,4.2,기본 Trail(2ATR),500000.0,8776119.402985074,2089552.2388059697,500000.0,0.5,False
KRW-ARDR,아더,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,42.3,32.4,2.84,Q1 Weak,4.325721451803,HH/LL,58.92598726351541,0.4837575607417895,5.368098159509203,6370513213,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,2,-1.0535959688502072,32.4,32.62,31.23,30.273333333333333,29.615833333333335,1.2810118371979984,1.333333333333342,1.971192471020311,32.745,1.5357142857142854,25.3,20.0,0.0,7.0,10.0,0.0,10.0,0.0,1.5357142857142854,31.977142857142855,33.51285714285714,32.4,30.864285714285714,1.5357142857142847,4.73985890652557,34.70357142857142,36.239285714285714,38.54285714285714,32.4,32.4,32.4,32.4,기본 Trail(2ATR),500000.0,10548837.209302332,325581.3953488374,500000.0,0.5,False
KRW-POKT,포켓네트워크,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,38.9,10.8,1.85,Q1 Weak,3.3384565844119307,HH/HL,58.11841168635471,3.92368847276037,4.2857142857142865,2352483219,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,2,-0.643974241030365,10.8,10.86,10.715,10.536666666666665,10.316916666666666,0.7522331922895864,0.6207225847524978,1.1983292053916461,10.870000000000001,0.30714285714285733,17.9,20.0,5.0,6.0,10.0,0.0,10.0,0.0,0.30714285714285733,10.716428571428573,11.02357142857143,10.8,10.492857142857144,0.30714285714285694,2.8439153439153415,11.260714285714286,11.567857142857143,12.028571428571428,10.8,10.8,10.8,10.8,기본 Trail(2ATR),500000.0,17581395.348837223,1627906.9767441873,500000.00000000006,0.5000000000000001,False
KRW-NEWT,뉴턴프로토콜,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 · 4시간봉이 LH/LL 하락 구조 → 시장 회복과 구조 반전을 먼저 확인하세요.,38.5,60.7,3.14,Q1 Weak,4.627100600328681,LH/LL,55.704437529967876,3.3007132512692836,7.4633699633699635,21992184942,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,2,-0.6302692968813917,60.7,60.67999999999999,60.675,58.72833333333333,58.46833333333334,0.13202409439720952,0.42178460486190783,1.1140094251250288,61.085,4.699999999999998,13.5,20.0,5.0,10.0,10.0,0.0,10.0,0.0,4.699999999999998,58.735,63.435,60.7,56.00000000000001,4.699999999999996,7.742998352553535,67.75,72.44999999999999,79.49999999999999,60.7,60.7,60.7,60.7,기본 Trail(2ATR),500000.0,6457446.808510644,106382.97872340435,500000.0,0.5,False
KRW-SC,시아코인,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,37.2,1.12,2.73,Q1 Weak,4.213877459832805,HH/LL,54.300484728104436,0.2611614072480314,9.355246523388114,28677242016,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,1,-7.246376811594191,1.12,1.194,1.083,1.0379666666666667,0.9564083333333334,1.8479334179714924,3.7655370055650117,5.008463333180857,1.2075,0.05857142857142846,29.2,10.0,0.0,8.0,10.0,0.0,10.0,0.0,0.05857142857142846,1.1782142857142859,1.2367857142857142,1.2133571428571428,1.0962142857142858,0.117142857142857,9.654441631836098,1.3890714285714283,1.5062142857142853,1.6819285714285708,1.2133571428571428,1.2133571428571428,1.2133571428571428,1.2133571428571428,기본 Trail(2ATR),500000.0,5178963.414634152,4268292.682926835,500000.0,0.5,False
KRW-SAHARA,사하라에이아이,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,34.2,13.2,1.53,Q1 Weak,3.013322289812004,HH/HL,52.67019636403605,1.5267295130599314,5.746509129967777,20866640563,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,1,-3.7550127597520855,13.2,13.76,13.080000000000002,12.483333333333333,12.0375,1.2383900928792935,1.780133170267706,2.1353319663437675,13.714999999999998,0.6714285714285714,26.2,10.0,0.0,8.0,10.0,0.0,10.0,0.0,0.6714285714285714,13.379285714285713,14.050714285714283,13.782142857142855,12.83595238095238,0.9461904761904751,6.865336442947216,15.201428571428568,16.14761904761904,17.566904761904755,13.782142857142855,13.782142857142855,13.782142857142855,13.782142857142855,기본 Trail(2ATR),500000.0,7282964.2677403195,528434.8263714148,500000.00000000006,0.5000000000000001,False
KRW-PROVE,서싱트,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,33.2,257.0,1.56,Q1 Weak,3.049104732560093,LH/HL,54.52985942355644,0.4550908911968492,2.912087912087912,400766248,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,2,-1.3056835637480724,257.0,262.2,258.4,249.66666666666666,243.61666666666667,0.8193523214982346,0.611189468735307,1.4435422305503431,260.4,3.9285714285714284,18.2,20.0,0.0,5.0,10.0,0.0,10.0,0.0,3.9285714285714284,258.43571428571425,262.3642857142857,260.79285714285714,256.8642857142857,3.928571428571445,1.5063953329133748,266.6857142857143,270.61428571428576,276.5071428571429,260.79285714285714,260.79285714285714,260.79285714285714,260.79285714285714,기본 Trail(2ATR),500000.0,20000000.0,76689.21694831694,301279.0665826749,0.3012790665826749,True
KRW-IQ,아이큐,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,32.0,1.06,2.88,Q1 Weak,4.37122011717549,HH/HL,54.653558757833736,0.4355959726915921,5.60747663551402,4664766371,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,1,-2.5287356321838983,1.06,1.098,1.0450000000000002,1.0043666666666666,0.9746583333333334,0.9954576205663646,1.752667837363231,2.0620265977870034,1.0875,0.04714285714285715,25.0,10.0,0.0,7.0,10.0,0.0,10.0,0.0,0.04714285714285715,1.0639285714285713,1.1110714285714285,1.0922142857142856,1.0285952380952381,0.06361904761904746,5.824777101998984,1.1876428571428568,1.2512619047619042,1.3466904761904754,1.0922142857142856,1.0922142857142856,1.0922142857142856,1.0922142857142856,기본 Trail(2ATR),500000.0,8584019.461077863,7859281.437125767,499999.99999999994,0.49999999999999994,False
KRW-AHT,아하토큰,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,28.6,1.43,2.1,Q1 Weak,3.5845068304621974,HH/HL,58.84536234745272,0.1980868778751281,3.8160469667319017,911656478,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,1,-1.7182130584192379,1.43,1.468,1.4205,1.367,1.32425,1.0312944523470868,1.2717619459192475,1.8392719815431668,1.4549999999999998,0.038571428571428604,23.6,10.0,0.0,5.0,10.0,0.0,10.0,0.0,0.038571428571428604,1.4357142857142855,1.4742857142857142,1.4588571428571426,1.404547619047619,0.054309523809523697,3.7227444836140418,1.5403214285714282,1.5946309523809519,1.6760952380952374,1.4588571428571426,1.4588571428571426,1.4588571428571426,1.4588571428571426,기본 Trail(2ATR),500000.0,13430951.337132864,9206488.38228849,500000.0,0.5,False
KRW-ARX,아르키움,반등 확인 필요,신규매수 보류,BTC 시장이 Q1 약세 → 시장 회복과 구조 반전을 먼저 확인하세요.,24.9,203.0,3.0,Q1 Weak,4.486604732560096,LH/HL,54.681041222255296,1.2980534416147103,7.31622746185853,13382327434,True,2026-09-10 17:00:00,2026-09-10 20:00:00,MA20 하회,0,-2.8475711892797295,203.0,209.0,201.2,185.71666666666667,181.44166666666666,0.978670012547056,2.0982224665567095,2.3985326623712444,208.95,10.357142857142858,24.9,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.357142857142858,203.77142857142857,214.1285714285714,209.98571428571427,196.88809523809525,13.09761904761902,6.237385763203833,229.6321428571428,242.7297619047618,262.37619047619035,209.98571428571427,209.98571428571427,209.98571428571427,209.98571428571427,기본 Trail(2ATR),500000.0,8016178.876567913,38174.877295037346,500000.0,0.5,False
